item_id,label,orig_len,opt_len,len_diff,orig_caption,opt_caption
36829688184,0.925999418556223,134,134,0,"Oh, just trying to find the blackest font possible for my new  Black Identity Extremist  tee-shirt. #12blaxx Visit my Instagram page! ",Discover the perfect font for my 'Black Identity Extremist' tee-shirt design! Check out my Instagram for more creative ideas! #12blaxx
49105064807,0.9004643264490856,56,55,1,"Precollina di Torino Rielaborazione, pioggia e rami. nan",Precollina di Torino: A Rainy Day with Twisted Branches
23686715318,1.159198594849254,51,53,2,Vía @miller.bolanos - 👍 - #interview via Instagram ,Behind-the-scenes with the star! 📸 #Interview #Sports
37281105850,0.9981613799827413,42,38,4, Beauty is in the eye of the beholder  nan,A mesmerizing gaze that speaks volumes
37508976712,1.0238467419543678,70,75,5,Wedding_Mars&BernardWedding__W9A8211__Sep 28 2017__Sep 28 2017.jpg nan,Bridal moment: A heartfelt exchange between lovebirds on their special day.
37539381681,1.1375035237499351,70,64,6,Wedding_Mars&BernardWedding__W9A7666__Sep 28 2017__Sep 28 2017.jpg nan,Bride and her mother share a radiant smile at their wedding day!
49108518576,1.0,59,50,9,"🎶 comfy boy (to the tune of air s ""sexy boy"") on Instagram ",When you're feeling like a real life 'cat lady' 🐱✨
37246198550,0.9510903995190536,66,75,9,"Ivy and Max in the woods Location: Oakville, ON Date: October 2017",Capturing the magic of childhood as Ivy and Max explore the woods together.
37456300546,1.1164498847785724,73,64,9,This book reminds me of you. A beautiful love story.... just like ours.  ,This book reminds me of our love story... just like this moment.
37501679841,0.9757524537533229,52,62,10,395   ITA MILANESI Gabriele Kramer D3- 125 cc 2T nan,Dirt bike racing at its best! 🏁 #Motocross #RacingGear #Action
49103604788,1.115477217419936,130,119,11,Do not judge me. Two food truck meals in a day. Its been a big ol long week. @coopatsoho #canberra #cbr @brodburger via Instagram ,"Two diverse food truck meals in one day? It’s been a long week, but worth it! 🍔🍟 #canberra #cbr @coopatsoho @brodburger"
37511992292,0.9004643264490856,67,56,11,We got out of the city for a bit Processed with VSCO with a6 preset,Escaping the hustle for a moment of peace amidst nature.
37471543912,0.9757524537533229,33,45,12,Shay Mitchell Shay Mitchell      ,Shay Mitchell: Captivating Style and Charisma
23689285418,1.115477217419936,56,68,12,Indo ali em busca do carrego da bolinha de maionese! nan,On the road with the Ford Cargo 2428e - ready for the next delivery!
49107357507,1.0632110488077422,75,87,12,Draw me like one of your French girls photo by g who got to stay home today,"When you're feeling extra cozy and want to look like a French girl, just lie like this!"
36833573703,0.9004643264490856,51,66,15,aberdeen dolphins aberdeen pod - having a nice day!,Aberdeen Dolphins: Witnessing a Rare Pod in Their Natural Habitat!
49104459753,0.9757524537533229,93,77,16,"Lucas-ism: Mom, don t say fuel. It means toot. (Uh, I think you re thinking of gas, kid.) nan","When you're not sure if it's fuel or toot, just ask the expert! 😄 #FamilyTime"
36790162124,1.070389327891398,65,47,18,Euskadiko Enduro Txapelketa 2017 Euskadiko Enduro Txapelketa 2017,Ride the line: Euskadiko Enduro Txapelketa 2017
